Point #,R [mm],Theta [mrad],Z[mm]
104, 			3764.396, 3400.9909,   4560.820 
6,	 			4322.324, 3557.7345,   4614.420 
Master Down,	1109.674, 4008.9576,   6188.108 
Slave Down, 	 903.717, 5063.6745,   6569.961 
REFMark U, 		3607.594, 6243.6651,   5498.283 
9, 				3526.794, 6251.9813,   5285.324 
REFMark T, 		3581.977, 6213.8345,   -599.286 
Slave UP1, 		 897.400, 5041.2927,   -525.736 
Master UP, 		1110.306, 4014.0978,   -491.067 
103, 			1819.271, 4434.5078,   -229.698 
101, 			1997.700, 4215.6478,  -8128.799 
1, 				3495.576, 6228.2594,  -6511.671 
102,			3831.558, 5804.3227,  -6544.212 
4, 				1726.319, 4585.1646,    143.589 